Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Population,Temperature_C,Precipitation_mm,Surface_Pressure_Pa,Dewpoint_K,Wind_Speed_ms,Meningitis_Rate_per_100k,Alzheimer's Disease and Other Dementias_Rate_per_100k,Parkinson's Disease_Rate_per_100k,Nutritional Deficiencies_Rate_per_100k,Malaria_Rate_per_100k,Drowning_Rate_per_100k,Interpersonal Violence_Rate_per_100k,Maternal Disorders_Rate_per_100k,HIV/AIDS_Rate_per_100k,Drug Use Disorders_Rate_per_100k,Tuberculosis_Rate_per_100k,Cardiovascular Diseases_Rate_per_100k,Lower Respiratory Infections_Rate_per_100k,Neonatal Disorders_Rate_per_100k,Alcohol Use Disorders_Rate_per_100k,Self-harm_Rate_per_100k,Exposure to Forces of Nature_Rate_per_100k,Diarrheal Diseases_Rate_per_100k,Environmental Heat and Cold Exposure_Rate_per_100k,Neoplasms_Rate_per_100k,Conflict and Terrorism_Rate_per_100k,Diabetes Mellitus_Rate_per_100k,Chronic Kidney Disease_Rate_per_100k,Poisonings_Rate_per_100k,Protein-Energy Malnutrition_Rate_per_100k,Road Injuries_Rate_per_100k,Chronic Respiratory Diseases_Rate_per_100k,Cirrhosis and Other Chronic Liver Diseases_Rate_per_100k,Digestive Diseases_Rate_per_100k,"Fire, Heat, and Hot Substances_Rate_per_100k",Acute Hepatitis_Rate_per_100k
Netherlands,NLD,1998,151,5564,1192,198,0,106,229,26,169,98,183,49443,7099,517,295,1831,0,119,32,40448,0,3575,1997,18,163,1395,8452,1735,5659,137,6,15708218,10.207062,38.19847,101414.1,280.58035,2.0520554,0.9612802674370831,35.42094972198628,7.588384627715252,1.2604867082949829,0.0,0.6748060155518595,1.45783563737147,0.16551845664479573,1.0758699681911723,0.6238772596611531,1.1649952909999086,314.7588096880244,45.192904758515574,3.2912708494369,1.8779978734697977,11.656319004485423,0.0,0.7575652438742574,0.2037150235628255,257.49578978341145,0.0,22.758787788659415,12.713090689217582,0.11458970075408936,1.0376734012731426,8.880701808441925,53.806230598531286,11.045173933796946,36.02572869818843,0.8721549446283468,0.038196566918029785
Netherlands,NLD,1999,158,5690,1219,220,0,109,253,23,171,107,182,49598,7488,528,316,1845,0,142,29,40907,0,3716,2062,18,184,1393,8645,1792,5827,139,6,15803676,10.74881,30.207634,101333.52,280.73096,1.6423186,0.9997673958894121,36.004281535511105,7.713395288539198,1.3920811841498144,0.0,0.6897129503287717,1.6008933617722865,0.14553576016111697,1.0820267385891738,0.6770576668365006,1.1516307977966647,313.8383753248295,47.38138139506277,3.3409948419595543,1.9995347917788242,11.674499021620033,0.0,0.8985251279512437,0.18350161063793008,258.84484090916567,0.0,23.51351672863959,13.04759728053144,0.11389755143043935,1.1642860812889357,8.814404952366779,54.70246289534156,11.33913400907485,36.87116845473167,0.8795422027128372,0.03796585047681312
Netherlands,NLD,2000,160,5828,1248,229,0,111,232,23,165,119,174,49240,7673,536,337,1862,0,164,24,40556,0,3870,2150,18,193,1375,8771,1847,6014,136,6,15899135,10.791016,31.3406,101302.875,280.96597,1.9709584,1.0063440558244205,36.65608223340452,7.849483635430481,1.440329929898702,0.0,0.6981511887281918,1.45919888094541,0.14466195802476045,1.037792307568934,0.7484683915194129,1.0943991607090575,309.70238317996547,48.26048712712987,3.371252587011809,2.119612167580186,11.711328949656695,0.0,1.0315026572200312,0.1509516083736631,255.08305955009502,0.0,24.34094685025317,13.522748250140653,0.11321370628024732,1.2139025173382074,8.648269229741114,55.16652321022495,11.616984194423155,37.825957198300415,0.8553924474507576,0.03773790209341577
Netherlands,NLD,2001,160,5910,1279,231,0,110,247,19,159,124,166,48550,7575,533,348,1870,3,190,22,40990,1,4075,2223,19,193,1328,8803,1880,6150,139,6,15970933,10.30069,33.44345,101423.836,280.4434,1.2387308,1.0018199938600956,37.00472602320728,8.00829857591914,1.4463776161355133,0.0,0.6887512457788157,1.5465596155215229,0.11896612427088638,0.9955586188984701,0.7764104952415741,1.0393882436298494,303.9897543869228,47.429915334313904,3.337312854546444,2.1789584866457083,11.708771178239868,0.018784124884876796,1.1896612427088638,0.13775024915576317,256.65375967703324,0.006261374961625599,25.515102968624312,13.919036539693705,0.11896612427088638,1.2084453675937405,8.315105949038795,55.11888378719014,11.771384927856124,38.50745601399743,0.8703311196659582,0.03756824976975359
Netherlands,NLD,2002,161,6000,1324,245,0,112,244,23,122,128,162,48299,7638,520,341,1910,2,222,19,41054,2,4163,2294,19,202,1292,8962,1935,6345,128,6,16042731,10.656982,32.754898,101394.75,280.74835,1.2199256,1.0035697787365505,37.40011597775965,8.252958925758962,1.5271714024251857,0.0,0.6981354982515134,1.5209380497622258,0.14336711124807863,0.7604690248811129,0.7978691408588725,1.0098031313995106,301.0647002683022,47.61034763968803,3.2413433847391695,2.12557325806934,11.905703586253487,0.012466705325919883,1.383804291177107,0.11843370059623888,255.90406022515745,0.012466705325919883,25.949447135902236,14.299311008830106,0.11843370059623888,1.259137237917908,8.053491640544244,55.86330656544699,12.061537402827486,39.550622646480825,0.7978691408588725,0.03740011597775965
Netherlands,NLD,2003,152,6128,1374,248,0,110,249,13,120,132,159,47963,7744,490,336,1955,0,255,21,39454,0,4194,2389,19,204,1258,9194,2002,6530,126,6,16114529,10.3594055,21.865845,101652.31,279.66153,0.79509974,0.9432481706415372,38.02779466902197,8.526467016193894,1.538983857362508,0.0,0.6826138077011125,1.5451894374325181,0.08067254091013147,0.7446696084012137,0.8191365692413349,0.986687231131608,297.63823689789507,48.05601206215832,3.0407342343049555,2.085074903523398,12.131909036869772,0.0,1.582422917852579,0.13031718147021237,244.834956082179,0.0,26.02620281362241,14.82513078725416,0.11790602133019215,1.265938334282063,7.806619728072723,57.054103163672984,12.423571300160246,40.52243785716604,0.7819030888212742,0.03723348042006068
Netherlands,NLD,2004,139,6068,1351,243,0,104,235,14,112,131,147,44799,7389,452,317,1874,0,274,17,41609,1,3949,2360,18,198,1128,8802,1896,6264,120,6,16186327,10.313141,28.37658,101469.945,280.25626,1.5986573,0.8587494865264986,37.488430821890596,8.346550764728773,1.5012670879563967,0.0,0.6425176014298982,1.4518426570771739,0.08649275403864014,0.6919420323091211,0.8093250556472756,0.9081739174057215,276.7706348697886,45.649639970822285,2.792480344676096,1.958443073589209,11.577672933457974,0.0,1.6927867576133857,0.10502691561834875,257.06264305669845,0.006178053859902867,24.397134692756424,14.580207109370766,0.1112049694782516,1.2232546642607678,6.968844753970434,54.379230074865035,11.713590118375837,38.699329378431564,0.7413664631883441,0.03706832315941721
Netherlands,NLD,2005,136,6140,1370,244,0,99,210,16,98,126,141,43015,7355,457,312,1831,0,295,16,42369,0,3794,2399,17,192,1047,8778,1839,6136,134,5,16258126,10.503815,26.884079,101608.555,280.4695,1.1745183,0.8365047730593304,37.76573019547271,8.426555434494725,1.500787975194681,0.0,0.6089262686240715,1.2916617819298486,0.09841232624227418,0.6027754982339293,0.7749970691579091,0.8672586250100413,264.57538833196395,45.23891621949541,2.810902068294956,1.9190403617243463,11.26206058435025,0.0,1.81447726509193,0.09841232624227418,260.60199065993214,0.0,23.33602286019926,14.755698165950983,0.1045630966324163,1.18094791490729,6.439856598478816,53.991462484667665,11.311266747471388,37.74112711391214,0.8242032322790462,0.03075385195071068
Netherlands,NLD,2006,109,6238,1387,244,0,95,179,16,60,125,134,41332,7134,420,301,1796,0,315,16,43748,1,3602,2453,16,187,993,8697,1790,6035,116,5,16329924,11.067078,26.891708,101505.31,280.5987,1.3898652,0.6674862663169774,38.19981036041564,8.493609645703188,1.4941894401958025,0.0,0.5817540853221362,1.096147171291183,0.09797963542267558,0.36742363283503343,0.765465901739653,0.8205794466649079,253.1058932056267,43.68666994408547,2.5719654298452337,1.8432418913890842,10.998214076195334,0.0,1.9289740723839255,0.09797963542267558,267.9008181544507,0.006123727213917224,22.05766542452984,15.021502855738948,0.09797963542267558,1.1451369890025207,6.080861123419803,53.25805557943809,10.961471712911829,36.95669373599044,0.7103523568143979,0.030618636069586116
Netherlands,NLD,2007,103,6350,1402,244,0,89,177,11,83,125,121,39661,6920,394,299,1758,7,335,15,44748,7,3397,2520,15,184,947,8636,1740,5911,112,5,16401722,11.080627,32.499313,101541.695,280.97708,1.3784958,0.6279828422893645,38.71544707317927,8.547882960094068,1.487648674937912,0.0,0.5426259511044023,1.0791549814098786,0.06706612878818455,0.5060444263108471,0.7621150998657336,0.7377274166700302,241.8099758061989,42.19069192856701,2.4021867947767923,1.8229793188788348,10.718386764511678,0.04267844559248108,2.042468467640166,0.09145381198388804,272.82501191033475,0.04267844559248108,20.711239953951175,15.36424041329319,0.09145381198388804,1.12183342700236,5.7737839965827975,52.6530080195238,10.608642190131011,36.03889884245081,0.6828551294796973,0.030484603994629347
